sku,name,description,short_description,attr_desc_features,attr_desc_supplement
"F7176AS","F7176 Risen Christ Statue Relief","<P>Risen Christ Wall Relief - 67"" Tall - This piece is molded from an original sculpture, finished by hand, and carefully handled from start to finish.  By mastering the art of casting our products in fiberglass resin we manage to retain all the detail of the original with the added benefits of less weight (reduced shipping costs), greater strength, and a product suitable for indoor and outdoor use.  <BR><STRONG>Standard Finishes Available Are:</STRONG>  </P><UL><LI><STRONG>Antique Stone Finish (As Pictured, Ideal for outdoor use)</STRONG> <LI><STRONG><EM>Other Custom Finishes are Available for no extra charge unless marked.  Most are suitable for outdoor use, <A href=""static/customfinishes.asp"" target=_blank>Click here to view the samples.</A></EM></STRONG></LI></UL><STRONG><P><TABLE cellSpacing=0 cellPadding=0 width=400 background=""images/gray swatch.jpg"" border=1><TBODY><TR><TD> <STRONG>Dimensions</STRONG></TD><TD><STRONG><FONT size=2> Height</FONT></STRONG></TD><TD> <STRONG><FONT size=2>Width</FONT></STRONG></TD><TD><STRONG><FONT size=2> Depth</FONT></STRONG></TD></TR><TR><TD><STRONG><FONT size=2> </FONT></STRONG></TD><TD><STRONG><FONT size=2> 67""</FONT></STRONG></TD><TD> <STRONG><FONT size=2>42""</FONT></STRONG></TD><TD><STRONG><FONT size=2> 12""</FONT></STRONG></TD></TR></TBODY></TABLE></P></STRONG><EM>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date.  These statues are made in the USA and usually ship in 6 to 10 weeks.  Please contact us for more information.</EM>","Risen Christ Relief - 67"" Tall - Click Image For More Details.","",""
"sdi_15046","F7176 Risen Christ Statue Relief","<P>Risen Christ Wall Relief - 67"" Tall - This piece is molded from an original sculpture, finished by hand, and carefully handled from start to finish.  By mastering the art of casting our products in fiberglass resin we manage to retain all the detail of the original with the added benefits of less weight (reduced shipping costs), greater strength, and a product suitable for indoor and outdoor use.  <BR><STRONG>Standard Finishes Available Are:</STRONG>  </P><UL><LI><STRONG>Antique Stone Finish (As Pictured, Ideal for outdoor use)</STRONG> <LI><STRONG><EM>Other Custom Finishes are Available for no extra charge unless marked.  Most are suitable for outdoor use, <A href=""static/customfinishes.asp"" target=_blank>Click here to view the samples.</A></EM></STRONG></LI></UL><STRONG><P><TABLE cellSpacing=0 cellPadding=0 width=400 background=""images/gray swatch.jpg"" border=1><TBODY><TR><TD> <STRONG>Dimensions</STRONG></TD><TD><STRONG><FONT size=2> Height</FONT></STRONG></TD><TD> <STRONG><FONT size=2>Width</FONT></STRONG></TD><TD><STRONG><FONT size=2> Depth</FONT></STRONG></TD></TR><TR><TD><STRONG><FONT size=2> </FONT></STRONG></TD><TD><STRONG><FONT size=2> 67""</FONT></STRONG></TD><TD> <STRONG><FONT size=2>42""</FONT></STRONG></TD><TD><STRONG><FONT size=2> 12""</FONT></STRONG></TD></TR></TBODY></TABLE></P></STRONG><EM>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date.  These statues are made in the USA and usually ship in 6 to 10 weeks.  Please contact us for more information.</EM>","Risen Christ Relief - 67"" Tall - Click Image For More Details.","",""
"F9338AS","F9338 Corpus 72""","<P>Corpus - 72"" Tall - This piece is molded from an original sculpture, finished by hand, and carefully handled from start to finish.  By mastering the art of casting our products in fiberglass resin we manage to retain all the detail or the original with the added benefits of less weight (reduced shipping costs), greater strength, and a product suitable for indoor and outdoor use.  <BR><STRONG>Standard Finishes Available Are:</STRONG>  </P><UL><LI><STRONG>Antique Stone Finish (As Pictured, Ideal for outdoor use)</STRONG> <LI><STRONG><EM>Other Custom Finishes are Available for no extra charge Others have a upcharge.  Please call for a price quote.  Most are suitable for outdoor use, <A href=""static/customfinishes.asp"" target=_blank>Click here to view the samples.</A></EM></STRONG></LI></UL><STRONG><P><TABLE cellSpacing=0 cellPadding=0 width=400 background=""images/gray swatch.jpg"" border=1><TBODY><TR><TD> <STRONG>Dimensions</STRONG></TD><TD><STRONG><FONT size=2> Height</FONT></STRONG></TD><TD> <STRONG><FONT size=2>Width</FONT></STRONG></TD><TD><STRONG><FONT size=2> Depth</FONT></STRONG></TD></TR><TR><TD><STRONG><FONT size=2> </FONT></STRONG></TD><TD><STRONG><FONT size=2> 72""</FONT></STRONG></TD><TD> <STRONG><FONT size=2>68""</FONT></STRONG></TD><TD><STRONG><FONT size=2> 15""</FONT></STRONG></TD></TR></TBODY></TABLE></P></STRONG><EM>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date.  These statues are made in the USA and usually ship in 6 to 10 weeks.  Please contact us for more information.</EM>","Corpus - 72"" Tall - Click Image For More Details.","",""
"sdi_15130","F9338 Corpus 72""","<P>Corpus - 72"" Tall - This piece is molded from an original sculpture, finished by hand, and carefully handled from start to finish.  By mastering the art of casting our products in fiberglass resin we manage to retain all the detail or the original with the added benefits of less weight (reduced shipping costs), greater strength, and a product suitable for indoor and outdoor use.  <BR><STRONG>Standard Finishes Available Are:</STRONG>  </P><UL><LI><STRONG>Antique Stone Finish (As Pictured, Ideal for outdoor use)</STRONG> <LI><STRONG><EM>Other Custom Finishes are Available for no extra charge Others have a upcharge.  Please call for a price quote.  Most are suitable for outdoor use, <A href=""static/customfinishes.asp"" target=_blank>Click here to view the samples.</A></EM></STRONG></LI></UL><STRONG><P><TABLE cellSpacing=0 cellPadding=0 width=400 background=""images/gray swatch.jpg"" border=1><TBODY><TR><TD> <STRONG>Dimensions</STRONG></TD><TD><STRONG><FONT size=2> Height</FONT></STRONG></TD><TD> <STRONG><FONT size=2>Width</FONT></STRONG></TD><TD><STRONG><FONT size=2> Depth</FONT></STRONG></TD></TR><TR><TD><STRONG><FONT size=2> </FONT></STRONG></TD><TD><STRONG><FONT size=2> 72""</FONT></STRONG></TD><TD> <STRONG><FONT size=2>68""</FONT></STRONG></TD><TD><STRONG><FONT size=2> 15""</FONT></STRONG></TD></TR></TBODY></TABLE></P></STRONG><EM>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date.  These statues are made in the USA and usually ship in 6 to 10 weeks.  Please contact us for more information.</EM>","Corpus - 72"" Tall - Click Image For More Details.","",""
"sdi_1565","120-1 Crucifix - Wood Carved","<body><p>120/1 Corpus on Special Cross - Wood Carved Crucifix - From Demetz Art Studio in Italy Hand Carved in Linden Wood. Available in multiple sizes. Shown in traditional colors mounted on Byzantine cross in oak wood with 4 symbols of the Evangelists and halo-shaped background.</p><p><strong>Available Standard Sizes:</strong></p><ul><li><strong>Wood (Corpus/Crucifix) - 2'/4', 30""/5', 3'/6', 4'/8'</strong><strong><br><br><em>Please <a target=""_blank"" href=""static/static_aboutus.asp"">Contact</a> Us For Pricing and More Information (Prices Range From $3,850 to $9,240) .</em></strong></li></ul><p><strong>Custom Works:</strong><br></p><ul><li>Many pieces can be customized with different colors, sizes and artwork.<a target=""_blank"" href=""static/demetz.asp"">To learn more about Demetz and the wood carving process click here</a>.</li><li>All Demetz artwork can be sculpted in wood, bronze, marble or made into a mosaic. </li><li>ChurchSupplyWarehouse specializes in custom projects, if you can dream it we can make it.<a target=""_blank"" href=""http://www.churchsupplywarehouse.com/catalog_subcategory.asp_Q_categoryId_E_88""><em>(click here to view recent custom projects)</em></a></li><li>If the statue is listed as available in fiberglass some finishes are suitable for outdoor use.<a target=""_blank"" href=""images/static/fiberglass.jpg""><em>(click here to view available finishes)</em></a><br></li></ul><p><em><a target=""_blank"" href=""pdf/woodcarvings.pdf"">Click here to download our print catalog of Italian wood carved statues by Demetz in .pdf format</a>.(Requires<a target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html"">Acrobat reader</a> ,a free download) </em></p><p><a title=""Get Acrobat Reader"" target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html""><img height=""31"" src=""images/DescriptionImages/getacro.gif"" width=""88"" border=""0""></a></p><p><em>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. These statues are hand carved and painted in Italy and usually ship in 3 to 4 months. Please contact us for more information.</em><br></p></body>","120/1 Wood Carved Crucifix - Click Image For More Details.","","Copyright Demetz Art Studio"
"ZE2827C","2827C Corpus - Aluminum","Aluminum corpus with bronze color. Measures 7"" in height by 8"" wide.","Aluminum Corpus - Click Image For Details","","These items have been removed from active inventory but can be custom ordered upon request. Please contact us for current pricing and availability."
"ZE3730C","3730C Corpus - Angelo Gherardi","Angelo Gherardi design corpus made of aluminum. Measures 8 1/2"" in height by 11 3/4"" wide.","Angelo Gherardi Design Corpus - Click Image For Details","",""
"sdi_1566","290-1 Corpus - Wood Carved","<body><p>290/1 Corpus - Cristo Del Tacca - Wood Carved Corpus - From Demetz Art Studio in Italy Hand Carved in Linden Wood. Available in multiple sizes and in fiberglass. Also available in different shades of brown.</p><p><strong>Available Standard Sizes:</strong></p><ul><li><strong>Wood - 2', 3', 4', 5', 6'</strong>  </li><li><strong>Fiberglass - 4', 5', 6'<br><br><em>Please <a target=""_blank"" href=""static/static_aboutus.asp"">Contact</a> Us For Pricing and More Information (Prices Range From $2,376 to $13,420) .</em></strong></li></ul><p><strong>Custom Works:</strong><br></p><ul><li>Many pieces can be customized with different colors, sizes and artwork.<a target=""_blank"" href=""static/demetz.asp"">To learn more about Demetz and the wood carving process click here</a>.</li><li>All Demetz artwork can be sculpted in wood, bronze, marble or made into a mosaic. </li><li>ChurchSupplyWarehouse specializes in custom projects, if you can dream it we can make it.<a target=""_blank"" href=""http://www.churchsupplywarehouse.com/catalog_subcategory.asp_Q_categoryId_E_88""><em>(click here to view recent custom projects)</em></a></li><li>If the statue is listed as available in fiberglass some finishes are suitable for outdoor use.<a target=""_blank"" href=""images/static/fiberglass.jpg""><em>(click here to view available finishes)</em></a><br></li></ul><p><em><a target=""_blank"" href=""pdf/woodcarvings.pdf"">Click here to download our print catalog of Italian wood carved statues by Demetz in .pdf format</a>.(Requires<a target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html"">Acrobat reader</a> ,a free download) </em></p><p><a title=""Get Acrobat Reader"" target=""_blank"" href=""http://www.adobe.com/products/acrobat/readstep2.html""><img height=""31"" src=""images/DescriptionImages/getacro.gif"" width=""88"" border=""0""></a></p><p><em>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date. These statues are hand carved and painted in Italy and usually ship in 3 to 4 months. Please contact us for more information.</em><br></p></body>","290/1 Wood Carved Corpus - Click Image For More Details.","","Copyright Demetz Art Studio"
"sdi_1567","217 Corpus - Wood Carved","<P>#217 Wood Carved Corpus -  From Demetz Art Studio in Italy Hand Carved in Linden Wood.  <EM>  </EM>Available in multiple sizes and in fiberglass- crosses are available. Also available with movable arms for an additional 25%!  Many pieces can be customized with different colors and custom carvings.  <A href=""static/demetz.asp"" target=_blank>To learn more about Demetz and the wood carving  process click here</A>.  <BR><STRONG><EM>Please <A href=""static/contact.asp"" target=_blank>Contact</A> Us For Pricing and More Information (Prices Range From $450 to $18,260) .<BR></EM><BR>Available Sizes:</STRONG></P><UL><LI><STRONG>Wood - 12"", 16"", 20"", 24"", 30"", 3', 3'6"", 4', 4'6"", 5', 5'6"", 6', 7', 8'</STRONG>  <LI><STRONG>Fiberglass - 3', 3'6"", 4', 4'6"", 5', 5'6"", 6', 7'</STRONG> </LI></UL><P><EM>We offer many wood carved statues.  Due to the large selection available,  our online catalog only features our best selling items .  <A href=""pdf/woodcarvings.pdf"" target=_blank>Click here to download our complete collection of Italian wood carved statues in .pdf format</A>.(Requires <A href=""http://www.adobe.com/products/acrobat/readstep2.html"" target=_blank>Acrobat reader</A> ,a free download) </EM></P><P><A title=""Get Acrobat Reader"" href=""http://www.adobe.com/products/acrobat/readstep2.html"" target=_blank><IMG height=31 src=""images/DescriptionImages/getacro.gif"" width=88 border=0></A></P><P><EM>Due to the size and delicate nature of these pieces most will not be shipped UPS, They will come via freight and the freight charges will be billed at a later date.  These statues are hand carved and painted in Italy and usually ship in 3 to 4 months.  Please contact us for more information.</EM><BR></P>","217 Wood Carved Corpus - Click Image For More Details.","","Copyright Demetz Art Studio"
"ZE1885C","1885C Corpus - Aluminum","Aluminum Corpus with Crown of Thorns applied. Measures 13"" in height by 13"" wide. Please Call for Additional Information.","Aluminum Corpus - Click Image For Details","","These items have been removed from active inventory but can be custom ordered upon request. Please contact us for current pricing and availability."
